0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,characters
-0.3145529,-1.0154697,0.7346958,0.24181308,0.32004866,-0.48169056,1.0394515,0.0917437,-0.40800148,0.20790388,0.84093213,0.38788152,-0.46240756,-0.3900446,0.83204776,0.37747362,-0.5785642,-0.151382,-0.31867543,0.63171446,Sam
0.20795944,0.10911813,0.40921697,-0.18183666,-0.07577018,0.45132086,0.39007506,-0.22856487,-0.015445506,0.008748764,0.45132864,0.019946635,-0.26634404,0.21976544,-0.38232324,0.35594794,-0.31226987,0.2817457,-0.08775849,0.17619726,Fatty Bolger
-0.22671841,-0.7600839,0.55919427,0.18829013,-0.08484931,0.36605382,0.3145204,-0.77784866,-0.7499549,0.6718491,0.09032367,-0.052585226,-0.78962356,-0.3188761,0.46715266,-0.016934998,-1.0052274,-0.87661475,-0.6343391,0.51568043,Pippin
-0.28157192,-0.19760777,0.17031339,-0.21291074,0.11748884,0.02179278,0.16224715,-0.47073933,-0.4735463,-0.32562867,0.37290168,0.097491995,-0.7018377,-0.37220433,-0.026440017,0.18897235,-0.36255276,-0.09566566,0.13100287,0.3048298,the Gaffer
0.12632498,-0.07817039,0.8609908,-0.27224427,-0.07009482,0.48390082,0.19363293,-0.05997503,0.37106505,0.2947138,0.49546954,-0.44281957,-0.19834812,0.28919414,-0.39331344,0.38649857,-0.20215832,0.18856014,-0.59828043,0.14258024,Black Riders
0.32021818,0.0770088,0.03683882,0.0033782814,0.019784113,0.18114653,0.51179785,-0.16486174,-0.36648166,-0.109783396,0.38056034,0.13346732,-0.20300715,0.05909097,-0.32912886,0.17117392,-0.35385785,0.2461425,0.14876327,0.21186963,Maggot
-0.21743526,0.20796043,0.023419421,-0.05795476,0.38133663,0.10140452,0.12460356,-0.3229649,-0.2512482,-0.1897082,0.32783774,-0.0027814824,-0.23749337,-0.09131236,-0.33405355,0.29294544,-0.23583512,0.32342315,-0.115158506,0.13225506,Farmer Maggot
0.3989411,-0.3568649,0.58738935,0.53739434,-0.0024061939,0.95511746,0.49399674,0.0732758,-0.028876172,-0.28954035,0.00989575,-0.13617097,-0.6625737,0.5645706,-1.1449772,0.43410867,-0.25742736,0.069500774,-0.40641686,0.456435,Tom Bombadil
0.33690315,0.059453264,0.19866782,0.23158413,0.0733922,0.62158227,0.18570599,-0.1463774,-0.007291197,-0.39185998,-0.12034903,-0.18423672,-0.3495278,0.45368773,-0.9385344,0.3102155,0.008282324,0.27566355,-0.08072597,0.26859435,Goldberry
0.17355667,-0.6916505,0.6424762,-0.16045314,-0.28131083,0.6178085,0.33624294,0.11498267,-0.44063702,0.31491485,0.1298351,0.0039331554,-0.49427027,0.41686028,-0.115187936,-0.064878024,-0.20602109,0.52459186,-0.019750565,0.6759006,Barliman Butterbur
0.24200878,-0.42435017,0.37848994,-0.26821184,-0.32355666,0.71798563,0.23996785,0.22916158,-0.37168065,0.31073806,-0.041422907,-0.043097805,-0.25768048,0.48045644,0.1468326,-0.23513994,-0.50081164,0.46687788,0.12497082,0.42196378,Nob
-0.57464385,-0.3372086,1.0340353,0.29013723,-0.78608626,0.7557511,0.4065555,0.24490203,-0.62640005,1.637499,0.4972779,-0.33914095,-0.33693737,0.12944664,0.7541193,0.0036875643,-0.32638687,-0.41499242,-0.3676948,0.8850079,Aragorn
0.026013589,-0.59355044,0.41926923,-0.22906035,-0.048776988,0.5016314,0.65499973,0.009484962,-0.44491225,0.10646608,0.40455255,0.15096894,-0.3669214,0.5398969,0.24619599,-0.13760044,-0.3247931,0.5313627,0.10883754,0.6313327,Ferny
-0.55642116,0.15473582,0.6517945,-0.028961176,-0.069920614,0.33854896,0.08767022,-0.14926626,0.167552,0.36102563,0.46220833,-0.18239184,-0.32270178,0.09016874,0.006497686,0.111573555,0.062482264,0.084704965,-0.22007519,-0.0060222307,Arathorn
0.15290216,-0.42405528,0.3623715,-0.36156848,-0.4294045,0.591427,0.21476687,0.13660876,-0.39516154,0.24777193,0.2749126,0.027375396,-0.39620188,0.4707754,0.27282792,-0.36017662,-0.1494404,0.6108736,0.18513106,0.5658123,Bob
-0.29193604,-0.018815022,0.39900658,0.07404223,-0.36295906,0.045877825,0.30227372,0.068040416,-0.19213645,0.11722512,0.016872615,-0.13850626,-0.026063507,0.3846203,0.11202433,-0.016263619,-0.49531737,0.21974455,-0.030690733,-0.023324732,Gil-galad
0.009775651,0.081580296,0.01451027,-0.12908664,-0.44220152,-0.28144705,-0.0901738,-0.28485808,-0.4913125,0.075341344,0.048356492,0.10673707,-0.12333905,0.39621505,0.24646309,-0.0493054,-0.14204353,-0.33440855,0.08665146,0.54042405,Tinúviel
-0.76868004,-0.21430954,1.5987895,-0.11845072,-0.3128587,0.11432708,-0.2479508,0.8438988,0.75733083,0.52209884,0.4374481,0.09938672,0.2301885,0.215134,0.52962184,0.56585777,-0.565595,-0.87695175,-0.6260881,-0.09563583,Elrond
0.39121434,-0.30932745,0.2518442,0.25733736,0.48442578,-0.58074343,-0.046301257,-0.15301363,-0.22369848,0.1595518,0.09270094,0.5770694,0.08012361,0.45852676,0.48636195,0.2666241,-0.09089162,-1.0988698,-0.10837943,0.76523376,Beren
0.884375,-0.049609214,0.5913091,0.15672614,0.18777527,-0.9452323,0.43476596,-0.07131009,-0.09102608,0.12453312,0.2699355,0.56855506,0.057136383,0.46796602,0.34880057,0.42200118,-0.012788244,-1.1142874,-0.4049497,0.3866006,Lúthien
0.2287777,0.14214814,-0.07830041,0.3384813,-0.074427545,0.6376559,0.11473818,-0.14997962,0.020323753,-0.6023358,-0.022927832,-0.18725693,-0.28147843,0.24013855,-0.830529,0.2678707,-0.13608299,0.25751716,-0.10457533,0.15919252,Troll
-0.20625289,0.4214183,0.816781,-0.5213376,-0.28500542,0.18168738,0.0059600775,-0.08381321,0.50744236,0.51194465,0.55253506,-0.35356793,0.200182,-0.058321506,-0.022610344,0.37679723,-0.31638357,0.18601398,-0.51061916,0.06623043,Glorfindel
0.38380662,0.28050917,0.07889201,-0.46807858,0.60514027,-0.15732925,0.44554722,0.69091785,0.5462936,-0.26150918,0.10513353,0.96065795,0.025924189,0.1510911,-0.15016808,0.08680726,-0.032059662,-0.7773301,-0.27049485,-0.13134511,Varda
-0.25628328,-0.13179143,0.62318057,-0.33147758,-0.18964241,0.18144913,0.15454961,0.13214009,0.34546816,0.7084884,0.6155373,-0.42878783,0.029163226,-0.017562969,-0.08313427,-0.013315952,-0.10897589,0.23602608,-0.47762096,-0.10463863,Glóin
-0.5530688,-0.25205612,-0.19196317,0.19186443,-0.31591478,-0.41647485,0.095439725,0.6828525,0.5057659,0.7138844,0.074109964,-0.2219057,-0.26001298,-0.23299061,-0.38372493,0.20851502,-0.5067702,0.2550606,0.10387465,1.1090912,Balin
-0.44235927,0.091065444,0.36989444,-0.21051885,-0.062029712,0.0018774751,-0.23716857,-0.120861426,0.18336992,-0.041356042,0.4072623,-0.06592334,-0.028880062,0.22549008,-0.24968748,0.3046129,-0.4712544,0.042712864,-0.12758936,-0.11155844,Drogo
-0.6173981,-0.79269993,0.116129205,0.3261447,-0.36405033,0.07581838,0.15190282,0.82180274,-0.11541574,1.3114574,0.7347915,0.23107667,-0.3590756,-0.11135398,0.50213766,-0.11122179,-0.27619466,-0.14848192,-0.5852218,0.14237273,Gimli
0.32448214,-0.18810862,0.9151328,-0.31832522,-0.04147351,0.102101155,-0.064230636,-0.18500914,0.5522385,0.5198757,0.75967616,-0.73120886,-0.02776625,-0.019777361,-0.17982875,0.33107752,0.3879025,-0.09525003,-0.20748104,-0.25243863,Galdor
